sale_date,Year,Month,Weekday_Name,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,total_sales
02-01-2014,2014,1,Thursday,0,3.670000076,3.400000095,32.40000153,7,0,0,2,48.4700017
03-01-2014,2014,1,Friday,8,4,4.400000095,50.59999847,16,0,20,4,106.9999986
04-01-2014,2014,1,Saturday,2,1,6.5,61.84999847,10,0,9,1,91.34999847
05-01-2014,2014,1,Sunday,4,3,7,41.09999847,8,0,3,0,66.09999847
06-01-2014,2014,1,Monday,5,1,4.5,21.70000076,16,2,6,2,58.20000076
07-01-2014,2014,1,Tuesday,0,0,0,0,0,0,0,0,0
08-01-2014,2014,1,Wednesday,5.329999924,3,10.5,26.39999962,19,1,10,0,75.22999954
09-01-2014,2014,1,Thursday,7,1.679999948,8,25,16,0,3,2,62.67999995
10-01-2014,2014,1,Friday,5,2,2,53.29999924,15,2,0,2,81.29999924
11-01-2014,2014,1,Saturday,5,4.340000153,10.39999962,52.29999924,14,0,1,0.200000003,87.23999901
12-01-2014,2014,1,Sunday,2,0.660000026,2.5,12,8,0,1,1,27.16000003
13-01-2014,2014,1,Monday,7.340000153,7.659999847,6.199999809,52,9,0,7,1,90.19999981
14-01-2014,2014,1,Tuesday,6,1.330000043,12.30000019,33.70000076,6,1,0,2,62.330001
15-01-2014,2014,1,Wednesday,4,2.339999914,5,26.70000076,12,2,3,3,58.04000068
16-01-2014,2014,1,Thursday,6,2,4.300000191,28.29999924,19,1,5,0,65.59999943
17-01-2014,2014,1,Friday,2,3.680000067,8.300000191,20.39999962,15,0,6,3,58.37999988
18-01-2014,2014,1,Saturday,1,5.329999924,5.800000191,43.20000076,15,4,7,2,83.33000088
19-01-2014,2014,1,Sunday,4.329999924,4,4,14.10000038,4,0,1,1,32.43000031
20-01-2014,2014,1,Monday,6,3.339999914,3.299999952,11.89999962,18,2,12,3,59.53999949
21-01-2014,2014,1,Tuesday,2,3.339999914,4,42,15,2,0,1,69.33999991
22-01-2014,2014,1,Wednesday,7,3,7,18.10000038,10,0,5,2,52.10000038
23-01-2014,2014,1,Thursday,4,4.670000076,5.199999809,26.20000076,2,3,1,3,49.07000065
24-01-2014,2014,1,Friday,4.670000076,7.340000153,7,19.60000038,13,1,0,0,52.61000061
25-01-2014,2014,1,Saturday,6,9,5,37.79999924,18,0,5,1,81.79999924
26-01-2014,2014,1,Sunday,4.329999924,1.679999948,0,24,4,0,0,0,34.00999987
27-01-2014,2014,1,Monday,4.340000153,4.670000076,1.200000048,23.60000038,17,2,1,3,56.81000066
28-01-2014,2014,1,Tuesday,6,3.339999914,2.799999952,13.38000011,22,5,1,5,58.51999998
29-01-2014,2014,1,Wednesday,5.329999924,4,2,14,10,1,1,2,39.32999992
30-01-2014,2014,1,Thursday,3.019999981,1.340000033,2.400000095,25.5,7,1,3,2,45.26000011
31-01-2014,2014,1,Friday,1,2.680000067,7.099999905,26.89999962,9,0,1,0,47.67999959
01-02-2014,2014,2,Saturday,4.329999924,4.320000172,5,43,13,1,14,0,84.6500001
02-02-2014,2014,2,Sunday,7,3,0.200000003,13.5,6,2,8,0,39.7
03-02-2014,2014,2,Monday,5,1,8.5,32.40000153,16,1,1,0,64.90000153
04-02-2014,2014,2,Tuesday,1.330000043,3,7,30.60000038,8,1,17,2,69.93000042
05-02-2014,2014,2,Wednesday,3,4.019999981,6.199999809,32.40000153,15,1,1,1,63.62000132
06-02-2014,2014,2,Thursday,3.329999924,6.679999828,3.5,41.40000153,17,2,5,2,80.91000128
07-02-2014,2014,2,Friday,2.660000086,8.670000076,11.69999981,21.39999962,19,1,0,0,64.42999959
08-02-2014,2014,2,Saturday,3.329999924,3.349999905,14.39999962,37.09999847,13,1,1,1,74.17999792
09-02-2014,2014,2,Sunday,4,3,2,31.5,10,0,6,0,56.5
