sale_datetime,Year,Month,Hour,Weekday_Name,total_sales
00:00.0,2014,1,8,Thursday,4.070000023
00:00.0,2014,1,9,Thursday,3
00:00.0,2014,1,10,Thursday,5
00:00.0,2014,1,11,Thursday,3
00:00.0,2014,1,12,Thursday,9
00:00.0,2014,1,13,Thursday,24.39999962
00:00.0,2014,1,14,Thursday,0
00:00.0,2014,1,15,Thursday,0
00:00.0,2014,1,16,Thursday,0
00:00.0,2014,1,17,Thursday,0
00:00.0,2014,1,18,Thursday,0
00:00.0,2014,1,19,Thursday,0
00:00.0,2014,1,20,Thursday,0
00:00.0,2014,1,21,Thursday,0
00:00.0,2014,1,22,Thursday,0
00:00.0,2014,1,23,Thursday,0
00:00.0,2014,1,0,Friday,0
00:00.0,2014,1,1,Friday,0
00:00.0,2014,1,2,Friday,0
00:00.0,2014,1,3,Friday,0
00:00.0,2014,1,4,Friday,0
00:00.0,2014,1,5,Friday,0
00:00.0,2014,1,6,Friday,0
00:00.0,2014,1,7,Friday,1
00:00.0,2014,1,8,Friday,0.600000024
00:00.0,2014,1,9,Friday,2
00:00.0,2014,1,10,Friday,9.099999905
00:00.0,2014,1,11,Friday,17
00:00.0,2014,1,12,Friday,25.79999962
00:00.0,2014,1,13,Friday,7
00:00.0,2014,1,14,Friday,4
00:00.0,2014,1,15,Friday,12
00:00.0,2014,1,16,Friday,7.199999809
00:00.0,2014,1,17,Friday,8
00:00.0,2014,1,18,Friday,3.300000012
00:00.0,2014,1,19,Friday,2
00:00.0,2014,1,20,Friday,8
00:00.0,2014,1,21,Friday,0
00:00.0,2014,1,22,Friday,0
00:00.0,2014,1,23,Friday,0
00:00.0,2014,1,0,Saturday,0
00:00.0,2014,1,1,Saturday,0
00:00.0,2014,1,2,Saturday,0
00:00.0,2014,1,3,Saturday,0
00:00.0,2014,1,4,Saturday,0
00:00.0,2014,1,5,Saturday,0
00:00.0,2014,1,6,Saturday,0
00:00.0,2014,1,7,Saturday,0
00:00.0,2014,1,8,Saturday,1.200000003
00:00.0,2014,1,9,Saturday,9
00:00.0,2014,1,10,Saturday,18
00:00.0,2014,1,11,Saturday,8
00:00.0,2014,1,12,Saturday,2
00:00.0,2014,1,13,Saturday,4
00:00.0,2014,1,14,Saturday,9
00:00.0,2014,1,15,Saturday,1
00:00.0,2014,1,16,Saturday,6.300000012
00:00.0,2014,1,17,Saturday,2.25
00:00.0,2014,1,18,Saturday,10
00:00.0,2014,1,19,Saturday,17
00:00.0,2014,1,20,Saturday,3.600000024
00:00.0,2014,1,21,Saturday,0
00:00.0,2014,1,22,Saturday,0
00:00.0,2014,1,23,Saturday,0
00:00.0,2014,1,0,Sunday,0
00:00.0,2014,1,1,Sunday,0
00:00.0,2014,1,2,Sunday,0
00:00.0,2014,1,3,Sunday,0
