Year,Month,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,total_sales
2018,1,132.2799991,109.4460001,101.1499998,1134.325003,229,11,219,49.5,1985.701002
2017,4,155.6099995,101.2149994,100.4999996,540.1999979,132,9,179,122.3999996,1339.924996
2015,11,142.779999,128.2329993,145.8999994,1234.974998,228,18,165,44,2106.887996
2019,8,181.9100008,88.26899993,84.20000029,518.1000004,237,26,145,97.30000019,1377.779002
2016,8,211.1299989,114.3749996,132.6999997,686.3833389,275.5,12,116,85.29999995,1633.388337
2018,11,172.2899988,105.4869999,102.1500001,995.1500034,252.1999998,22,311,48.39999995,2008.677002
2014,6,112.0700009,94.70999992,122.9000003,548.2249985,323,23,57,109.3,1390.205
2014,4,113.1000015,89.47499904,125.1499993,698.5,209,18,97,73.69999972,1423.924999
2015,1,135.9100006,130.3489999,140.9999995,1044.24,463,24,171,42,2151.499
2018,2,128.3599997,132.804,114.6500002,1255.373995,268,12,223,39.06000012,2173.247995
2015,12,159.4599993,131.2909995,136.9999998,1258.348999,286,28,231,41.72999993,2272.829998
2017,5,143.6599991,118.1249993,98.95000029,547.9400022,148,23,128,161.8099999,1369.485001
2019,7,180.9999999,103.5409999,92.80000017,620.6750011,250.5999994,20,115,105.2000004,1488.816001
2015,10,195.8099986,127.2309996,146.2,1574.334995,222,8,184,72,2529.575994
2018,10,144.7099998,129.4000001,76.04999954,1129.275,287,25,327,76.89999995,2195.334999
2016,7,194.5283324,141.0190004,137.8999995,652.3619995,240,8,109,116.8299999,1599.639332
2014,5,101.7900007,119.9329996,132.1000003,628.7799988,270,23,107,123.6999998,1506.302999
2015,2,115.7100004,123.7399997,131.83,953.2520008,243,9,208,47,1831.532001
2018,3,146.1599997,111.7639993,122.2999992,999.1230021,381,42,269,85.49999988,2156.847
2017,6,122.3299999,103.0059998,99.60000002,496.0999994,163,8,163,151.9000003,1306.936
2016,10,186.7599989,142.0559998,160.1499994,1583.691666,290.8333321,11,220,60.89999986,2655.390996
2014,8,124.7900009,99.78000095,123.7999997,547.3499994,420,29,37,70.80000007,1452.520001
2019,10,44.37000021,37.29999971,20.64999995,295.1499996,86,7,37,11.12999985,538.5999993
2015,5,160.0199995,119.1170009,136.0400002,765.9000053,194,10,100,159.4999998,1644.577006
2015,3,156.0400004,129.3860006,133.7999997,1084.849998,208,13,170,54,1949.075999
2019,1,179.7000002,189.646,99.69999981,1660.612009,295.2000008,23,386,41.29999995,2875.15801
2018,4,170.0199997,107.7229995,84.60000005,803.2870026,289,14,229,197.0999994,1894.730001
2016,11,166.8466661,116.8499999,133.8500001,1062.686005,234.166666,27,150,51.19999993,1942.599337
2017,7,150.2949996,116.2060006,75.19999993,479.3500004,219,15,115,81.1,1251.151001
2019,9,161.0699997,111.4369994,93.4999994,984.4800014,227.7999992,16,120,109.0999999,1823.386999
2016,9,172.9599996,126.2179999,116.6999996,1118.698997,307,18,121,69.29999995,2049.876997
2014,7,117.0600004,95.00999877,129.3,491.9000025,348,21,61,69.1,1332.370002
2018,12,147.7100002,113.0240006,84.74999991,1213.949999,254,27,354,53.0999999,2247.534
2015,4,154.4999998,101.1150007,122.0999997,940.1699972,192,5,97,112,1723.884997
2016,1,171.6499991,128.4019994,172.5000012,1476.324001,248,24,174,56.5,2451.376001
2019,2,133.7300001,142.1549999,110.2,1001.212007,249.3999996,12,226,69.5,1944.197006
2016,12,169.3199995,135.0559994,122.8166666,1624.335003,226.333334,18,275,34.90000005,2605.761002
2018,5,160.5199996,103.5220006,89.40000021,644.6479998,259,13,167,213.04,1650.13
2018,7,150.1800002,132.5490007,87.19999999,679.3500004,283,19,90,122.2000002,1563.479001
