week_start_date,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
05-01-2014,14,11.67000008,21.29999924,185.9499969,41,0,32,7
12-01-2014,29.32999992,12.68000031,37.90000153,190.6999969,88,5,21,7.199999809
19-01-2014,30.67000008,26.34000015,45.90000153,218.3999939,80,8,29,12
26-01-2014,34,32.36999893,31.5,179.6000061,80,8,23,10
02-02-2014,31.02000046,23.35000038,20.70000076,159.8800049,84,12,29,12
09-02-2014,22.64999962,29.71999931,53.29999924,226.8000031,98,7,31,6
16-02-2014,33.33000183,30.69000053,47.29999924,320.7000122,89,14,18,16.20000076
23-02-2014,39.00999832,34.25,44.20000076,232.6999969,99,5,35,7
02-03-2014,36.68000031,28.75,40.35499954,222.5,52,2,16,10.10000038
09-03-2014,25.02000046,21.11000061,31.79999924,202.375,48,4,16,9.199999809
16-03-2014,32.34999847,23.77000046,36.20000076,164.8000031,90,5,36,19
23-03-2014,39.36000061,23.71999931,26.10000038,202.8000031,36,4,27,23.60000038
30-03-2014,25.69000053,17.32999992,36.20000076,136.6000061,42,6,29,24.5
06-04-2014,19.68000031,22.04999924,36.40000153,153.6999969,31,7,27,20
13-04-2014,36.02999878,20.37999916,21.20000076,141,46,4,22,20.29999924
20-04-2014,27.36000061,19.37999916,35.15000153,134.1999969,59,1,24,20
27-04-2014,26.36000061,20.21500015,22,182.5,54,4,16,13
04-05-2014,22.02000046,27.15999985,23.89999962,176.6000061,49,6,24,13.89999962
11-05-2014,24.67000008,32.48500061,29.60000038,151.6000061,69,11,15,36
18-05-2014,22.37999916,26.39999962,35.20000076,154,56,2,42,18.5
25-05-2014,25.02000046,22.27799988,33.70000076,115.6999969,56,5,20,36.59999847
01-06-2014,17.70999908,22.07999992,25.10000038,143.3800049,69,3,19,28.10000038
08-06-2014,23.34000015,23.05999947,33.90000153,154.4250031,64,8,19,27.5
15-06-2014,29.03000069,17.39999962,23.60000038,95.30000305,87,8,20,36.79999924
22-06-2014,31.68000031,20.72999954,26.10000038,106.6999969,66,5,11,24
29-06-2014,21.02000046,27.5,37.29999924,156.8000031,96,1,6,18
06-07-2014,27.35000038,24.73999977,30,135.8000031,64,3,8,10
13-07-2014,26.01000023,22.37999916,34.70000076,122.8000031,83,7,27,16.20000076
20-07-2014,33.66999817,20.76000023,20.5,96,84,6,12,14.39999962
27-07-2014,28.01000023,28.77000046,33.09999847,116.1999969,77,2,8,16
03-08-2014,20.02000046,7.710000038,23.20000076,95.09999847,80,9,11,16.5
10-08-2014,28.36000061,19.73999977,28.39999962,123.5999985,83,8,3,16.89999962
17-08-2014,26.02000046,19.53000069,34.70000076,103.4000015,99,5,3,23.60000038
24-08-2014,36.36000061,25.22500038,20.5,111.1999969,92,7,14,11.30000019
31-08-2014,22.04999924,31.27499962,29,160.1499939,112,3,12,15
07-09-2014,29.70000076,29.36899948,23.60000038,113.7200012,109,5,9,18.60000038
14-09-2014,18.70000076,22.40999985,22.39999962,216.3500061,104,0,28,10.19999981
